sourcetype,count
CommandExecution,103786
"CrowdStrike:Event:Streams:JSON",144465
ICAClient,8475
"InMage_drivers",48
"Linux:SELinuxConfig",73156
"MSAD:NT6:DNS",709283378
"MSAD:NT6:DNS-Zone-Information",534214
"MSAD:NT6:Netlogon",1102224
"MSAD:NT6:Replication",955236
MdeExtensionHandlerLog,7791
MdeInstallerLog,17821
MdeInstallerWrapperLog,11466
"Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentLinux-monitor.log",2
"Microsoft.Azure.RecoveryServices.VMSnapshotLinux-shell.log",5054
"OktaIM2:app",10682
"OktaIM2:appUser",1664826
"OktaIM2:group",42
"OktaIM2:groupUser",223340
"OktaIM2:log",98196
"OktaIM2:user",206
"Perfmon:DFS_Replicated_Folders",3336927
"Perfmon:NTDS",14085948
"Perfmon:Network_Interface",4264351
"PerfmonMk:CPU",152647654
"PerfmonMk:LogicalDisk",152644036
"PerfmonMk:Memory",152644175
"PerfmonMk:Network",152637372
"PerfmonMk:PhysicalDisk",152643298
"PerfmonMk:Process",152050541
"PerfmonMk:ProcessorInformation",153725387
"PerfmonMk:System",152642191
"Script:InstalledApps",618512
"Script:ListeningPorts",5033042
"Script:NetworkConfiguration",9453
"Script:TimesyncConfiguration",98343
"Script:TimesyncStatus",98342
TrendMicro,25550685
"Unix:ListeningPorts",1386952
"Unix:SSHDConfig",86750
"Unix:Service",14804997
"Unix:Update",68905
"Unix:Uptime",3867
"Unix:UserAccounts",3913838
"Unix:VSFTPDConfig",100
"Unix:Version",3867
WinEventLog,92801
"WinEventLog:Microsoft-Windows-CodeIntegrity/Operational",961581406
"WinEventLog:Microsoft-Windows-Sysmon/Operational",4
WinHostMon,1719196562
XmlWinEventLog,12427934604
Xorg,1410
"access-too_small",869779
"access_combined",582544
"access_combined_wcookie",50175
"access_log-too_small",1685445
"agent.console",4724881
agentlauncher,4698
aide,8293
alternatives,861
"alternatives-too_small",18
"am:cw:agent",4005230
"apache_error",790421
"apiserver-2",7180
"app:rds:agent",130
"app:rds:error",6632
"app:rds:postgresql",907409
"app:rds:rds-events",723
apport,116
"apport-too_small",9
appservice,55834
"apt_history",91
"apt_term",173
"asterisk_messages",32132
auditd,863877748
auth,88022
"aws:cloudtrail",48128278
"aws:cloudwatch:guardduty",1
"aws:cloudwatchlogs:vpcflow",3141547906
"aws:description",4275431
"aws:firehose:cloudwatchevents:unknown:no_processor",395905833
"aws:guardduty",2
"aws:route53:queries",74545409
"aws:s3-objects:unknown:no_processor",5854
"aws:s3:ssm:application",182327245
"aws:s3:ssm:awscomponent",841031
"aws:s3:ssm:billinginfo",47590
"aws:s3:ssm:complianceitem",117193967
"aws:s3:ssm:compliancesummary",725295
"aws:s3:ssm:inspectorcve",67546
"aws:s3:ssm:inspectormetricdatapackagescanner",2590
"aws:s3:ssm:inspectorthirdpartypackage",61259
"aws:s3:ssm:instancedetailedinformation",301382
"aws:s3:ssm:instanceinformation",7887
"aws:s3:ssm:network",887919
"aws:s3:ssm:patchsummary",6496
"aws:s3:ssm:scans",29338
"aws:s3:ssm:service",15310818
"aws:s3:ssm:tag",337785
"aws:s3:ssm:windowsrole",19024083
"aws:s3:ssm:windowsupdate",3233857
"azure:aad:audit",343507
"azure:aad:device",49949741
"azure:aad:group",43056079
"azure:aad:signin",521338
"azure:aad:user",52741768
"azure:compute:disk",797
"azure:compute:snapshot",1374
"azure:compute:vm",2032
"azure:metrics",337979169
"azure:securityCenter:alert",12690
"azure:securityCenter:task",37550
bandwidth,2870528
"bash_history",2312797
"beyondtrust:rs:session:cef",8667
boot,33350
cdpcli,414
"cfn-init",69
"cfn-wire",30
"choose_repo",9
"cisco:ios",133609614
"cisco:netflow",74468647
"citrix:netscaler:syslog",54599365
"clamav_scan",1225
clamscan,3080
"cloud-init",408555
"cnf-too_small",12
cobblestone,2520
collectd,298
"collectd.conf",88453737
"config-too_small",106
"config_file",3614
cpu,11777780
"cribl:internal",9604177
cron,2308909
"cron-too_small",220
"crowdstrike:device:json",10966956
"crowdstrike:indicators:json",61201224
"crowdstrike:unified:alert:json",25057
"cta_linux_agent",176030728
"cta_linux_agent-2",1596
"cta_linux_agent-2024-04-25T",3192
"cta_linux_agent-2024-05-03T",3192
"cta_linux_agent-2024-05-04T",1554
"cta_linux_agent-2024-05-11T",3192
"cta_linux_handler-2",22302
"cups_access",20858
"cups_error",1675
"db_software_repo_sync",186
"dependency-agent-install-too_small",127
df,1038109
dmesg,34951
dnf,2452551
"dnf-11",3007
"dnf-7",737
"dnf.librepo",219603
"dnf.librepo-4",32437
"dnf.librepo-5",33478
"dnf.librepo-too_small",624
"dnf.librepo.log",63
"dnf.librepo.log-2",2
"dnf.log-3",8
"dnf.rpm",53150
docker,147773
"docker:keycloak",27962
dpkg,38982
"ecs:containerinsights:performance",242959
"error-too_small",13229
"error_log",6412
eucanalytics,290389
"eucanalytics-too_small",1
exec,347195
extension,3529890
"extension-5",1400
falcon,1859880
"falcon-libbpf",5950932
"falcon-libbpf-3",109954
falconctl,105
"fapolicyd-access",37802
fontconfig,1
"fstab-too_small",1
"gc.log-2",161447
"gc.log-3",27039
"gc.log-4",74328
"gc.log-too_small",325
"gitlab:api:json",52393
"gitlab:application",16312057
"gitlab:audit",5464
"gitlab:nginx:access",18151824
"gitlab:production",2498756
"gitlab:shell",7059063
"gitlab:unknown",35161
"gitlab:workhorse",17084181
"glusterfs_cli",703
handler,22343
"handler-2",746
"handler-3",1251
"handler-4",1142
harden,191
hardware,8842
hawkey,51387
"hawkey-too_small",390
history,2826
"insights-client",673901
"insights-client-3",1079
"insights-client-6",1572
install,172
"install-2",457
"install-3",1135
"install_demo_configuration-too_small",7
interfaces,5189520
iostat,2868754
"jobserver-2",134905
json,726
kdump,275
"kdump-2",55
"kdump-too_small",80
"keeper_security",10407
kern,2542954
"krb5_child",23384
"krb5_child-2",2514
"krb5_child-too_small",27
"krb_child",206005
"kubes:application",129773705
"kubes:dataplane",1644207
"kubes:host",1693155
"kubes:performance",50858025
lastlog,1009807
"ldap_child",7033476
ldaptestconnection,638
"linux_audit",1587022365
"linux_auditd",584804801
"linux_bootlog",231406
"linux_messages_syslog",30779137
"linux_secure",55748343
lsof,6433366426
maillog,6530
"maillog-too_small",2
main,418
measurements,1841785
"messages-4",161338
"microsoft:defender:core",7271623
"microsoft_defender-3",681
"microsoft_defender-51",175
"microsoft_defender-52",152
"microsoft_defender-69",179
"microsoft_defender-70",167
"microsoft_defender-71",95
"microsoft_defender-72",96
"microsoft_defender-75",182
"microsoft_defender-76",157
"microsoft_defender-8",105
"microsoft_defender_core-10",122466
"microsoft_defender_core-11",471
"microsoft_defender_core-12",34271
"microsoft_defender_core-13",4
"microsoft_defender_core-14",196
"microsoft_defender_core-15",101256
"microsoft_defender_core-18",3269
"microsoft_defender_core-19",109
"microsoft_defender_core-2",469
"microsoft_defender_core-21",215
"microsoft_defender_core-24",23
"microsoft_defender_core-25",63
"microsoft_defender_core-29",4556
"microsoft_defender_core-3",6750
"microsoft_defender_core-33",4
"microsoft_defender_core-35",190
"microsoft_defender_core-39",204
"microsoft_defender_core-4",168
"microsoft_defender_core-5",1336
"microsoft_defender_core-6",7129
"microsoft_defender_core-7",180084
"microsoft_defender_core-8",12838
"microsoft_defender_core-9",35
"microsoft_defender_core_err",11536
"microsoft_defender_core_err-2",25365
"microsoft_defender_core_err-3",1317
